gu,ym,mpi_gu,rnk,chg
26530,202410,0.3241,1,-0.2737
26200,202410,0.2968,2,-0.2393
26440,202410,0.286,3,-0.3101
26350,202410,0.2846,4,-0.1457
26290,202410,0.2805,5,-0.2258
26230,202410,0.2677,6,-0.107
26140,202410,0.2652,7,-0.29
26320,202410,0.262,8,-0.2001
26500,202410,0.2618,9,-0.1345
26410,202410,0.2499,10,-0.2134
26710,202410,0.2433,11,-0.2116
26380,202410,0.2379,12,-0.2378
26110,202410,0.2257,13,-0.2491
26470,202410,0.2187,14,-0.2792
26260,202410,0.2164,15,-0.2718
26170,202410,0.2061,16,-0.089
26440,202411,0.3441,1,-0.17
26530,202411,0.303,2,-0.321
26200,202411,0.2915,3,-0.2529
26140,202411,0.2895,4,-0.225
26290,202411,0.2829,5,-0.2192
26320,202411,0.2778,6,-0.152
26350,202411,0.2736,7,-0.1788
26500,202411,0.2624,8,-0.1325
26230,202411,0.2565,9,-0.1446
26710,202411,0.2371,10,-0.2319
26380,202411,0.2322,11,-0.256
26410,202411,0.2314,12,-0.2714
26260,202411,0.2248,13,-0.2436
26110,202411,0.212,14,-0.2946
26170,202411,0.2029,15,-0.1032
26470,202411,0.1061,16,-0.6504
26200,202412,0.362,1,-0.0722
26440,202412,0.3561,2,-0.1411
26140,202412,0.3499,3,-0.0634
26530,202412,0.3398,4,-0.2385
26320,202412,0.3174,5,-0.0309
26290,202412,0.3161,6,-0.1275
26350,202412,0.3072,7,-0.0778
26230,202412,0.2999,8,0.0001
26470,202412,0.2883,9,-0.0497
26380,202412,0.2812,10,-0.0991
26500,202412,0.2768,11,-0.0851
26410,202412,0.2744,12,-0.1363
26710,202412,0.2676,13,-0.1328
26260,202412,0.264,14,-0.1117
26110,202412,0.2595,15,-0.1368
26170,202412,0.2336,16,0.0326
26140,202501,0.3891,1,0.0416
26440,202501,0.3141,2,-0.2424
26530,202501,0.3036,3,-0.3197
26200,202501,0.2926,4,-0.2502
26290,202501,0.2671,5,-0.2628
26350,202501,0.2595,6,-0.2209
26320,202501,0.2555,7,-0.2199
26500,202501,0.242,8,-0.2001
26410,202501,0.2327,9,-0.2674
26230,202501,0.2309,10,-0.23
26380,202501,0.2293,11,-0.2654
26710,202501,0.2257,12,-0.2686
26260,202501,0.2142,13,-0.2791
26170,202501,0.2006,14,-0.1136
26110,202501,0.1945,15,-0.3528
26470,202501,0.1865,16,-0.3855
26440,202502,0.3175,1,-0.234
26530,202502,0.3044,2,-0.3178
26200,202502,0.2978,3,-0.2367
26140,202502,0.2975,4,-0.2036
26290,202502,0.2775,5,-0.2342
26350,202502,0.2671,6,-0.1981
26320,202502,0.2626,7,-0.1983
26500,202502,0.2607,8,-0.1382
26230,202502,0.2539,9,-0.1531
26410,202502,0.2498,10,-0.2136
26710,202502,0.2495,11,-0.1915
26380,202502,0.2407,12,-0.2288
26470,202502,0.2382,13,-0.215
26110,202502,0.233,14,-0.225
26260,202502,0.2132,15,-0.2825
26170,202502,0.1941,16,-0.1423
26440,202503,0.3099,1,-0.2525
26530,202503,0.2986,2,-0.3309
26200,202503,0.2802,3,-0.2819
26140,202503,0.2706,4,-0.2758
26320,202503,0.2663,5,-0.1868
26290,202503,0.2629,6,-0.2744
26230,202503,0.2605,7,-0.1313
26350,202503,0.2511,8,-0.2461
26470,202503,0.2384,9,-0.2144
26410,202503,0.2379,10,-0.2512
26500,202503,0.237,11,-0.2166
26380,202503,0.2367,12,-0.2416
26710,202503,0.2347,13,-0.2396
26260,202503,0.2309,14,-0.2231
26170,202503,0.2193,15,-0.0306
26110,202503,0.2056,16,-0.316
26530,202504,0.3216,1,-0.2793
26440,202504,0.3081,2,-0.2567
26350,202504,0.2903,3,-0.1285
26200,202504,0.2881,4,-0.2617
26140,202504,0.2824,5,-0.2441
26260,202504,0.272,6,-0.0847
26500,202504,0.2584,7,-0.146
26290,202504,0.2581,8,-0.2875
26170,202504,0.2562,9,0.1322
26320,202504,0.2533,10,-0.2265
26230,202504,0.2509,11,-0.1632
26380,202504,0.2497,12,-0.2001
26710,202504,0.2388,13,-0.2262
26410,202504,0.2385,14,-0.2492
26110,202504,0.2259,15,-0.2484
26470,202504,0.2183,16,-0.2805
26530,202505,0.2956,1,-0.3375
26440,202505,0.2815,2,-0.321
26200,202505,0.2747,3,-0.296
26320,202505,0.2467,4,-0.2468
26290,202505,0.2448,5,-0.3242
26140,202505,0.2448,6,-0.3446
26350,202505,0.2447,7,-0.2655
26380,202505,0.2374,8,-0.2395
26500,202505,0.2356,9,-0.2211
26230,202505,0.2347,10,-0.2172
26170,202505,0.2331,11,0.0301
26410,202505,0.2269,12,-0.2859
26470,202505,0.2152,13,-0.2908
26710,202505,0.2034,14,-0.341
26110,202505,0.1972,15,-0.3438
26260,202505,0.1843,16,-0.3797
26530,202506,0.337,1,-0.2448
26440,202506,0.3003,2,-0.2756
26200,202506,0.2913,3,-0.2535
26170,202506,0.2833,4,0.252
26320,202506,0.272,5,-0.1696
26410,202506,0.2662,6,-0.1619
26290,202506,0.2662,7,-0.2653
26230,202506,0.2655,8,-0.1144
26350,202506,0.2626,9,-0.2119
26500,202506,0.2501,10,-0.1733
26110,202506,0.25,11,-0.1683
26140,202506,0.246,12,-0.3416
26380,202506,0.2431,13,-0.2211
26710,202506,0.2419,14,-0.2162
26470,202506,0.2408,15,-0.2063
26260,202506,0.2337,16,-0.2137
26440,202507,0.2765,1,-0.333
26530,202507,0.2758,2,-0.382
26350,202507,0.2388,3,-0.2833
26140,202507,0.2357,4,-0.3692
26380,202507,0.2347,5,-0.2482
26200,202507,0.2301,6,-0.4103
26320,202507,0.2216,7,-0.3236
26230,202507,0.2108,8,-0.297
26290,202507,0.2094,9,-0.4221
26710,202507,0.2036,10,-0.3404
26410,202507,0.201,11,-0.3674
26110,202507,0.1977,12,-0.3424
26500,202507,0.195,13,-0.3555
26260,202507,0.1939,14,-0.3476
26470,202507,0.1929,15,-0.3641
26170,202507,0.1918,16,-0.1524
26140,202508,0.2839,1,-0.24
26530,202508,0.2696,2,-0.3958
26440,202508,0.2513,3,-0.3938
26350,202508,0.2249,4,-0.3248
26320,202508,0.2191,5,-0.3312
26200,202508,0.207,6,-0.4695
26260,202508,0.2069,7,-0.3039
26230,202508,0.2052,8,-0.3157
26170,202508,0.2022,9,-0.1065
26380,202508,0.202,10,-0.3527
26290,202508,0.2019,11,-0.4427
26470,202508,0.1955,12,-0.3555
26710,202508,0.1818,13,-0.4108
26110,202508,0.1791,14,-0.4043
26500,202508,0.1777,15,-0.4127
26410,202508,0.1753,16,-0.4482
26530,202509,0.2871,1,-0.3566
26320,202509,0.2733,2,-0.1656
26200,202509,0.267,3,-0.3157
26350,202509,0.2611,4,-0.2161
26440,202509,0.258,5,-0.3776
26380,202509,0.2396,6,-0.2325
26500,202509,0.236,7,-0.22
26110,202509,0.2323,8,-0.2272
26140,202509,0.2256,9,-0.3961
26230,202509,0.2222,10,-0.2591
26470,202509,0.2219,11,-0.2685
26260,202509,0.2177,12,-0.2674
26290,202509,0.2177,13,-0.3992
26170,202509,0.2096,14,-0.0737
26710,202509,0.2034,15,-0.3411
26410,202509,0.1889,16,-0.4052
26530,202510,0.2766,1,-0.3802
26440,202510,0.2604,2,-0.3717
26200,202510,0.2545,3,-0.3479
26350,202510,0.2452,4,-0.264
26290,202510,0.2318,5,-0.3601
26320,202510,0.226,6,-0.31
26140,202510,0.2179,7,-0.4168
26230,202510,0.2118,8,-0.2937
26470,202510,0.21,9,-0.3078
26170,202510,0.2059,10,-0.0898
26380,202510,0.2013,11,-0.355
26500,202510,0.1995,12,-0.3404
26710,202510,0.189,13,-0.3876
26110,202510,0.1865,14,-0.3796
26260,202510,0.1851,15,-0.3773
26410,202510,0.1816,16,-0.4283
26530,202511,0.2533,1,-0.4324
26440,202511,0.2417,2,-0.417
26320,202511,0.2307,3,-0.2957
26200,202511,0.2255,4,-0.422
26350,202511,0.2121,5,-0.3633
26140,202511,0.2112,6,-0.4346
26470,202511,0.2018,7,-0.3349
26230,202511,0.2004,8,-0.3318
26500,202511,0.1926,9,-0.3632
26110,202511,0.192,10,-0.3613
26380,202511,0.1913,11,-0.3871
26170,202511,0.1878,12,-0.17
26710,202511,0.186,13,-0.3973
26290,202511,0.1852,14,-0.4889
26260,202511,0.1792,15,-0.3971
26410,202511,0.1706,16,-0.4628
26200,202512,0.3121,1,-0.2
26440,202512,0.3029,2,-0.2694
26530,202512,0.2853,3,-0.3606
26140,202512,0.2785,4,-0.2545
26320,202512,0.2704,5,-0.1746
26710,202512,0.2579,6,-0.1644
26380,202512,0.2579,7,-0.1739
26350,202512,0.2565,8,-0.2301
26500,202512,0.2528,9,-0.1644
26170,202512,0.2449,10,0.0825
26230,202512,0.2433,11,-0.1887
26110,202512,0.238,12,-0.2081
26470,202512,0.2299,13,-0.2423
26290,202512,0.2248,14,-0.3796
26260,202512,0.2239,15,-0.2465
26410,202512,0.2195,16,-0.3091
26140,202601,0.2784,1,-0.2547
26530,202601,0.2542,2,-0.4303
26200,202601,0.2435,3,-0.376
26440,202601,0.2368,4,-0.4287
26320,202601,0.2243,5,-0.3154
26350,202601,0.2033,6,-0.3897
26470,202601,0.2019,7,-0.3345
26290,202601,0.1951,8,-0.4615
26380,202601,0.1935,9,-0.3801
26230,202601,0.1866,10,-0.3776
26410,202601,0.1829,11,-0.4242
26710,202601,0.1827,12,-0.4081
26500,202601,0.1816,13,-0.3997
26260,202601,0.178,14,-0.4011
26110,202601,0.1729,15,-0.4249
26170,202601,0.1668,16,-0.2629
26530,202602,0.28,1,-0.3725
26140,202602,0.276,2,-0.2613
26440,202602,0.2507,3,-0.3953
26320,202602,0.2352,4,-0.2819
26200,202602,0.2229,5,-0.4289
26290,202602,0.2143,6,-0.4086
26230,202602,0.2129,7,-0.2901
26170,202602,0.2123,8,-0.0616
26110,202602,0.2081,9,-0.3078
26470,202602,0.199,10,-0.3442
26410,202602,0.1989,11,-0.3739
26500,202602,0.1987,12,-0.3431
26350,202602,0.1977,13,-0.4064
26380,202602,0.1955,14,-0.3737
26710,202602,0.1909,15,-0.3814
26260,202602,0.1857,16,-0.3751
26350,202603,0.2991,1,-0.1023
26440,202603,0.2719,2,-0.344
26140,202603,0.2688,3,-0.2804
26530,202603,0.2639,4,-0.4087
26320,202603,0.23,5,-0.2979
26230,202603,0.218,6,-0.2728
26290,202603,0.2063,7,-0.4305
26470,202603,0.2035,8,-0.3292
26200,202603,0.2035,9,-0.4785
26380,202603,0.1973,10,-0.3678
26500,202603,0.1959,11,-0.3525
26410,202603,0.1953,12,-0.3854
26110,202603,0.195,13,-0.3512
26260,202603,0.1916,14,-0.3551
26710,202603,0.1899,15,-0.3846
26170,202603,0.1805,16,-0.2024
26140,202604,0.4726,1,0.265
26350,202604,0.3919,2,0.1765
26530,202604,0.3833,3,-0.1411
26440,202604,0.3545,4,-0.145
26320,202604,0.328,5,0.0013
26200,202604,0.3137,6,-0.196
26170,202604,0.2848,7,0.2589
26380,202604,0.2801,8,-0.1027
26110,202604,0.2794,9,-0.0705
26230,202604,0.279,10,-0.0694
26710,202604,0.2718,11,-0.1192
26410,202604,0.2713,12,-0.1458
26500,202604,0.2681,13,-0.1136
26290,202604,0.2666,14,-0.2642
26260,202604,0.249,15,-0.1621
26470,202604,0.248,16,-0.1826
