기준년월,행정동코드,행정동명,연령대,평균이용금액,평균이용건수
202512,2617053000,동구 초량3동,20대미만,3335465,313
202512,2617053000,동구 초량3동,30대,92128785,4944
202512,2617053000,동구 초량3동,40대,103595885,4519
202512,2617053000,동구 초량3동,50대,121944695,4834
202512,2617053000,동구 초량3동,60대이상,116991714,4119
202512,2617055000,동구 초량6동,20대,1104924,70
202512,2617055000,동구 초량6동,20대미만,184109,33
202512,2617055000,동구 초량6동,30대,3208803,99
202512,2617055000,동구 초량6동,40대,2930035,141
202512,2617055000,동구 초량6동,50대,4684644,207
202512,2617055000,동구 초량6동,60대이상,5744463,237
202512,2617056000,동구 수정1동,20대,2564130,129
202512,2617056000,동구 수정1동,20대미만,124770,10
202512,2617056000,동구 수정1동,30대,5226601,193
202512,2617056000,동구 수정1동,40대,5713152,200
202512,2617056000,동구 수정1동,50대,6269883,208
202512,2617056000,동구 수정1동,60대이상,6748996,167
202512,2617057000,동구 수정2동,20대,15851801,875
202512,2617057000,동구 수정2동,20대미만,774611,80
202512,2617057000,동구 수정2동,30대,41123492,1458
202512,2617057000,동구 수정2동,40대,67710849,1893
202512,2617057000,동구 수정2동,50대,82856123,2714
202512,2617057000,동구 수정2동,60대이상,109153229,3761
202512,2617059000,동구 수정4동,20대,579935,52
202512,2617059000,동구 수정4동,20대미만,18709,2
202512,2617059000,동구 수정4동,30대,1968941,74
202512,2617059000,동구 수정4동,40대,1778526,93
202512,2617059000,동구 수정4동,50대,3385400,149
202512,2617059000,동구 수정4동,60대이상,4951061,199
202512,2617060000,동구 수정5동,20대,871301,53
202512,2617060000,동구 수정5동,20대미만,40719,5
202512,2617060000,동구 수정5동,30대,2128638,55
202512,2617060000,동구 수정5동,40대,3852661,104
202512,2617060000,동구 수정5동,50대,2773883,152
202512,2617060000,동구 수정5동,60대이상,6390449,201
202512,2617064500,동구 좌천동,20대,8878421,303
202512,2617064500,동구 좌천동,20대미만,518420,31
202512,2617064500,동구 좌천동,30대,25630604,644
202512,2617064500,동구 좌천동,40대,39693973,785
202512,2617064500,동구 좌천동,50대,50269008,1145
202512,2617064500,동구 좌천동,60대이상,103194141,1767
202512,2617065000,동구 범일1동,20대,4504510,292
202512,2617065000,동구 범일1동,20대미만,311613,31
202512,2617065000,동구 범일1동,30대,9258084,432
202512,2617065000,동구 범일1동,40대,13064625,508
202512,2617065000,동구 범일1동,50대,21513119,812
202512,2617065000,동구 범일1동,60대이상,42815795,1460
202512,2617066000,동구 범일2동,20대,34340920,1488
202512,2617066000,동구 범일2동,20대미만,908936,61
202512,2617066000,동구 범일2동,30대,110189385,3070
202512,2617066000,동구 범일2동,40대,143610959,3386
202512,2617066000,동구 범일2동,50대,194344208,4058
202512,2617066000,동구 범일2동,60대이상,352803505,5856
202512,2617068000,동구 범일5동,20대,7036316,365
202512,2617068000,동구 범일5동,20대미만,90380,13
202512,2617068000,동구 범일5동,30대,14143094,678
202512,2617068000,동구 범일5동,40대,19266296,537
202512,2617068000,동구 범일5동,50대,19861489,558
202512,2617068000,동구 범일5동,60대이상,20105274,512
202512,2620053000,영도구 남항동,20대,15747124,1039
202512,2620053000,영도구 남항동,20대미만,980843,119
202512,2620053000,영도구 남항동,30대,29069816,1186
202512,2620053000,영도구 남항동,40대,59020476,1755
202512,2620053000,영도구 남항동,50대,97540347,2590
202512,2620053000,영도구 남항동,60대이상,186775071,4479
202512,2620054000,영도구 영선1동,20대,5026616,299
202512,2620054000,영도구 영선1동,20대미만,365401,34
202512,2620054000,영도구 영선1동,30대,12231895,480
202512,2620054000,영도구 영선1동,40대,25384367,801
202512,2620054000,영도구 영선1동,50대,36375627,1133
202512,2620054000,영도구 영선1동,60대이상,74490425,2259
202512,2620055000,영도구 영선2동,20대,5235108,262
202512,2620055000,영도구 영선2동,20대미만,412748,48
202512,2620055000,영도구 영선2동,30대,7064232,320
202512,2620055000,영도구 영선2동,40대,11563308,415
202512,2620055000,영도구 영선2동,50대,13779291,545
