가맹점명,도로명주소,지번주소,위도,경도,데이터기준일자
예향에스테틱,"부산 동래구 충렬대로 487, 130호 (안락동,안락SK@상가동)",,35.19481205,129.1118428,2024-09-30
감포식당,부산 해운대구 아랫반송로23번길 37 (반송동),,35.22527556,129.1497609,2024-09-30
벤누(Bennu)컴퍼니,"부산 해운대구 좌동순환로 49 (좌동,지하1층)",,35.17099878,129.1662739,2024-09-30
지에스25송상현광장점,부산 부산진구 중앙대로824번길 9 1층 (전포동),,35.16436993,129.0660392,2024-09-30
백강한의원,"부산 북구 백양대로 1190 (구포동 604-1,603-22)",,35.20852521,129.0054432,2024-09-30
네네치킨다대2점,"부산 사하구 다대로 339, 301호 상가 (장림동,극동정림아파트)",,35.0723878,128.9777824,2024-09-30
신마트공항점,부산 강서구 공항로811번길 30 (대저2동)1필지,,35.18016056,128.95627,2024-09-30
신앙촌상회,부산 금정구 서동로99번길 16-20 (서동),,35.21726134,129.0984854,2024-09-30
에이스스포츠,부산 사상구 학장로324번길 7 (주례동),,35.14939069,129.0003682,2024-09-30
짬뽕마을,부산 동래구 사직북로28번길 23-2 (사직동),,35.19901691,129.0611883,2024-09-30
풍년방앗간,부산 동래구 시실로211번길 13 (명장동),,35.20695518,129.1008394,2024-09-30
뉴거인통닭,부산 서구 구덕로193번길 25 (아미동2가),,35.10198831,129.0184562,2024-09-30
지미온하우스,"부산 동구 중앙대로 450-3, 1층 (좌천동)",,35.13002082,129.0502298,2024-09-30
짬뽕면가,"부산 부산진구 시민공원로19번길 38-8 ,1층 (부암동)",,35.16483587,129.0519401,2024-09-30
유드리아데버거엔커피/비케이유파트너스(주,"부산 남구 신선로 428 (용당동,동명대학교내)",,35.12468976,129.1013646,2024-09-30
하나앤음악학원,"부산 기장군 정관면 정관4로 42, 5층 풍산빌딩",,35.3262382,129.1712737,2024-09-30
매료네일in뷰티,"부산 부산진구 가야대로784번길 15 , 3층(부전동)",,35.15672148,129.0573233,2024-09-30
한솥도시락사하구청점,부산 사하구 낙동대로 390 (당리동),,35.10318925,128.9755182,2024-09-30
케이아이티(KIT)쉼터,"부산 해운대구 센텀중앙로 55 (우동,경남정보대학교)",,35.17320069,129.1279819,2024-09-30
조선화로집 사상점,부산 사상구 사상로 208 (괘법동),,35.16362129,128.9841874,2024-09-30
기찬한우,"부산 사하구 낙동대로549번길 29 ,302동 201-1호 (하단동,청목미르피아아파트)",,35.11231842,128.9622659,2024-09-30
멜로디,부산 부산진구 중앙대로 지하 717 서면지하도상가서면몰 4.25 1호 2호 (부전동),,35.15523634,129.059137,2024-09-30
