연번,신고일시,신고위치 지번주소,위도,경도,위반구분,과태료부과여부,데이터기준일자
141,2024-08-02 14:49,부산광역시 사하구 다대동 1551-31,35.05021066 ,128.96668774 ,교차로,Y,2025-12-01
142,2024-08-02 21:23,부산광역시 사하구 다대동 1548-15,35.05067578 ,128.96527501 ,교차로,Y,2025-12-01
143,2024-08-02 12:42,부산광역시 사하구 다대동 1552-4,35.04845729 ,128.96626565 ,보도(인도)위,Y,2025-12-01
144,2024-08-02 09:03,부산광역시 사하구 신평동 607-14,35.09759305 ,128.95915683 ,교차로,Y,2025-12-01
145,2024-08-02 19:32,부산광역시 사하구 괴정동 1246,35.10089286 ,128.99291043 ,횡단보도,Y,2025-12-01
146,2024-08-02 20:38,부산광역시 사하구 다대동 1548-25,35.04904759 ,128.96431820 ,교차로,Y,2025-12-01
147,2024-08-02 11:44,부산광역시 사하구 괴정동 267-20,35.10184319 ,128.99748453 ,보도(인도)위,Y,2025-12-01
148,2024-08-02 23:36,부산광역시 사하구 하단동 870-27,35.10697801 ,128.96059535 ,교차로,Y,2025-12-01
149,2024-08-02 07:55,부산광역시 사하구 괴정동 383,35.10009467 ,128.99985382 ,횡단보도,Y,2025-12-01
150,2024-08-02 14:56,부산광역시 사하구 다대동 1595,35.06036231 ,128.98402052 ,교차로,Y,2025-12-01
151,2024-08-02 23:33,부산광역시 사하구 하단동 889-2,35.10756959 ,128.95960697 ,교차로,Y,2025-12-01
152,2024-03-19 00:15,부산광역시 사하구 당리동 314,35.10570946 ,128.96894142 ,횡단보도,Y,2025-12-01
153,2024-02-06 22:42,부산광역시 사하구 신평동 79-18,35.09017111 ,128.97490688 ,횡단보도,Y,2025-12-01
154,2024-02-06 19:28,부산광역시 사하구 다대동 1551-31,35.05021066 ,128.96668774 ,교차로,Y,2025-12-01
155,2024-02-06 22:29,부산광역시 사하구 장림동 1064,35.08364681 ,128.97816056 ,보도(인도)위,Y,2025-12-01
156,2024-02-06 16:50,부산광역시 사하구 괴정동 663,35.09540961 ,128.98855933 ,교차로,Y,2025-12-01
157,2024-02-06 14:51,부산광역시 사하구 하단동 503-9,35.10936617 ,128.96041086 ,교차로,Y,2025-12-01
158,2024-02-06 19:02,부산광역시 사하구 신평동 636,35.09764460 ,128.95748325 ,교차로,Y,2025-12-01
159,2024-02-06 22:26,부산광역시 사하구 장림동 1064,35.08364681 ,128.97816056 ,보도(인도)위,Y,2025-12-01
160,2024-02-06 16:06,부산광역시 사하구 하단동 80,35.10331865 ,128.97049129 ,횡단보도,Y,2025-12-01
161,2024-02-06 20:36,부산광역시 사하구 괴정동 253,35.10238542 ,128.99753450 ,보도(인도)위,Y,2025-12-01
162,2024-02-06 19:21,부산광역시 사하구 다대동 1551-31,35.05021066 ,128.96668774 ,횡단보도,Y,2025-12-01
163,2024-02-07 14:39,부산광역시 사하구 하단동 593-1,35.10511925 ,128.96459449 ,보도(인도)위,Y,2025-12-01
164,2024-02-07 12:18,부산광역시 사하구 하단동 523,35.10789334 ,128.96294504 ,교차로,Y,2025-12-01
165,2024-02-07 10:31,부산광역시 사하구 하단동 884,35.10776731 ,128.95916109 ,횡단보도,Y,2025-12-01
166,2024-02-06 22:25,부산광역시 사하구 장림동 1064,35.08364681 ,128.97816056 ,보도(인도)위,Y,2025-12-01
167,2024-02-06 17:15,부산광역시 사하구 장림동 372-4,35.07498784 ,128.97753065 ,보도(인도)위,Y,2025-12-01
168,2024-02-06 19:39,부산광역시 사하구 다대동 1548-30,35.04930170 ,128.96389723 ,보도(인도)위,Y,2025-12-01
169,2024-02-06 12:13,부산광역시 사하구 하단동 491,35.10959839 ,128.96622464 ,보도(인도)위,Y,2025-12-01
