관리번호,분류,데이터명,원본,발췌,단순집계,응용집계,시각화,기간,컬럼수,주요컬럼
TRN001,교통,교통카드 사용이력교통카드 사용 이력 데이터,O,O,O,O,O,202201~202607,18,행 데이터 기준일자 / 교통카드 종류 / 카드식별 번호 / 교통카드 접촉 순서 / 승하차 상태 / EB 노선번호 / 노선번호 / 정류장 코드 / 정류장 명칭 / 운수업체 코드 / 차량 번호 / 운수업체 명칭 / 카드 사용 시간 / 카드 소유주 유형 / 탑승자 명세 / 탑승인원 / 정류장순번 / 적재일자
TRN002,교통,대중교통 운임정보 코드대중교통 운임 정보(수단·구간·등급 포함),O,O,O,O,O,202209~202209,12,이력 데이터 유일 번호 / 데이터 유효 시작 일자(UNIXTIME) / 데이터 유효 종료 일자(UNIXTIME) / 교통수단 유형 / 구간 명칭 / 출발지 / 도착지 / 좌석등급 / 출발시간 / 요금(원) / 데이터 업데이트 시간(UNIXTIME) / 적재일자
TRN003,교통,부산 버스정류장 기본정보 코드부산 버스정류장 기본정보,O,O,O,O,O,202301~202606,5,정류장코드 / 경도 / 위도 / 정류장명 / 적재일자
TRN004,교통,버스정류장·집계구 코드 매핑버스정류장과 집계구 매핑 정보,O,O,O,O,O,202207~202207,6,버스정류장 코드 / 집계구 코드 / 집계구 중심 경도 / 집계구 중심 위도 / DB 업데이트 일자 / 적재일자
TRN005,교통,부산 지하철역 기본정보 코드부산 지하철역 기본정보(노선/환승/좌표),O,O,O,O,O,202109~202109,17,행 데이터 기준 YYYYMMDD 일자 / 정류장 코드 / 정류장 명칭 / 지하철 노선 코드 / 지하철 노선 명칭 / 영문역사명 / 한자역사명 / 환승역구분 / 환승노선코드 / 환승노선명칭 / 위도 / 경도 / 운영기관명 / 역사도로주소 / 역사전화번호 / 행 데이터 변경 YYYYMMDD 일자 / 적재일자
TRN006,교통,지하철역·집계구 코드 매핑지하철역과 집계구 매핑 정보,O,O,O,O,O,202207~202207,6,지하철역 코드 / 집계구 코드 / 집계구 중심 경도 / 집계구 중심 위도 / DB 업데이트 일자 / 적재일자
TRN007,교통,행정동단위 차량등록 통계행정동 단위 차량등록 통계 데이터,O,O,O,O,O,202208~202309,16,기준일자 / 시도명 / 시군구명 / 행정동명 / 행정구역 코드 / 차종 / 세대주 성별 / 세대주 연령대 / 세대원수 / 연료 / 배기량 / 차량용도 / 차량등록 년도 / 차량대수 / 적재일시 / 센터코드
TRN008,교통,집계구단위 차량등록 통계집계구 단위 차량등록 통계 데이터,O,O,O,O,O,202208~202309,18,기준일자 / 시도명 / 시군구명 / 행정동명 / 집계구코드 / 집계구 x좌표 / 집계구 y좌표 / 차종 / 세대주 성별 / 세대주 연령 / 세대원수 / 연료 / 배기량 / 차량용도 / 차량등록 년도 / 차량대수 / 적재일시 / 센터코드
TRN009,교통,"버스정류장 탑승객 합계버스 정류장, 일 단위, 시간대 별 탑승객 합계",O,O,O,O,O,202201~202607,10,데이터 생성 년월 / 데이터 생성 일자 / 데이터 생성 시간대 / 버스 정류장 ID / 버스 정류장 명칭 / 버스 정류장 위치(경도) / 버스 정류장 위치(위도) / 탑승객 합계 / 데이터 적재 일자 / 데이터 생성 센터 코드
TRN010,교통,"지하철역 탑승객 합계지하철 역, 일 단위, 시간대 별 탑승객 합계",O,O,O,O,O,202201~202607,10,데이터 생성 년월 / 데이터 생성 일자 / 데이터 생성 시간대 / 지하철 역 ID / 지하철 역 명칭 / 지하철 역 위치(경도) / 지하철 역 위치(위도) / 탑승객 합계 / 데이터 적재 일자 / 데이터 생성 센터 코드
TRN011,교통,"집계구별 버스 탑승객 합계동일 집계구 소재 버스 정류장, 일 단위, 시간대 별 탑승객 합계",O,O,O,O,O,202201~202607,9,데이터 생성 년월 / 데이터 생성 일자 / 데이터 생성 시간대 / 집계구 코드 / 집계구 중심 위치(경도) / 집계구 중심 위치(위도) / 집계구 소재 버스 정류장 탑승객 합계 / 데이터 적재 일자 / 데이터 생성 센터 코드
TRN012,교통,"집계구별 지하철 탑승객 합계동일 집계구 소재 지하철 역, 일 단위, 시간대 별 탑승객 합계",O,O,O,O,O,202201~202607,9,데이터 생성 년월 / 데이터 생성 일자 / 데이터 생성 시간대 / 집계구 코드 / 집계구 중심 위치(경도) / 집계구 중심 위치(위도) / 집계구 소재 지하철 역 탑승객 합계 / 데이터 적재 일자 / 데이터 생성 센터 코드
TRN013,교통,BRT 버스정류장 탑승객 합계BRT 버스 정류소별 시간별 이용객 분류 단위 통계 데이터,X,X,O,O,O,202201~202511,12,기준일자 / BRT노선 / 기준시간(HH) / 정류장별 부여된 고유 ID / 정류장 명칭 / 정류장 위치(경도) / 정류장 위치(위도) / 이용자수(어른) / 이용자수(청소년) / 이용자수(어린이) / 적재일시 / 센터코드
TRN014,교통,톨게이트단위 통행차량 통계톨게이트 단위 통행 차량 통계 데이터,O,O,O,O,O,202101~202309,13,기준일자 / 기준시간 / 유료도로 명칭 / 차량용도 / 차량크기 / 지역구분 / 지불방식 / 할인여부 / 지역(구) / 차량대수 / 통과횟수 / 적재일시 / 센터코드
TRN015,교통,진출입 톨게이트단위 통행차량 통계진입·진출 톨게이트 단위 통행 차량 통계 데이터,O,O,O,O,O,202101~202309,15,기준일자 / 기준시간 / 지역구분 / 유료도로 경로 명칭 / 지불방식 / 할인여부 / 차량크기 / 차량용도 / 지역(구) / 차량대수 / 통과횟수 / 부가요금 / 징수요금 / 적재일시 / 센터코드
TRN018,교통,차량 네트워크 데이터(링크)TMAP 차량 네트워크 데이터(링크),X,X,X,O,O,202507~202507,36,공간인덱스명 / 링크ID / 정방향 TSD ID / 역방향 TSD ID / 시작노드 ID / 종료노드 ID / 도로길이 / 시작각도 / 종료각도 / 도로등급 / 안내용 도로등급 / 포장상태 / 링크종별 / 시설물 코드 / 도로번호 / 일방통행 / 차로수 / 레벨코드 / 중앙분리대 / 버스차로
TRN019,교통,차량 네트워크 데이터(노드)TMAP 차량 네트워크 데이터(노드),X,X,X,O,O,202507~202507,33,데이터버전 / 공간인덱스명 / 노드ID / TSD 노드ID / 노드속성 / 톨게이트ID / 톨속성 / 노드반경 / 교차로명 / 연결링크수 / 1번째 연결링크 / 2번째 연결링크 / 3번째 연결링크 / 4번째 연결링크 / 5번째 연결링크 / 6번째 연결링크 / 7번째 연결링크 / 8번째 연결링크 / 1번째 규제값 / 2번째 규제값
TRN020,교통,보행자 네트워크 데이터(링크)TMAP 보행자 네트워크 데이터(링크),X,X,X,O,O,202507~202507,30,데이터버전 / 공간인덱스명 / 링크ID / 시작노드 ID / 종료노드 ID / 도로길이 / 시작각도 / 종료각도 / 도로등급 / 포장상태 / 링크종별 / 시설물 코드 / 시설명 / 도로번호 / 일방통행 / 도로명 / 레벨코드 / 평일 버스시간 / 토요일 버스시간 / 휴일 버스시간
TRN021,교통,보행자 네트워크 데이터(노드)TMAP 보행자 네트워크 데이터(노드),X,X,X,O,O,202507~202507,28,데이터버전 / 공간인덱스명 / 노드ID / 노드속성 / 교차로명 / 연결링크수 / 1번째 연결링크 / 2번째 연결링크 / 3번째 연결링크 / 4번째 연결링크 / 5번째 연결링크 / 6번째 연결링크 / 7번째 연결링크 / 8번째 연결링크 / 1번째 규제값 / 2번째 규제값 / 3번째 규제값 / 4번째 규제값 / 5번째 규제값 / 6번째 규제값
TRN022,교통,도로 명칭 및 방면 명칭 테이블 TMAP 도로 명칭 및 방면 명칭 테이블,X,X,X,O,O,202507~202507,10,공간인덱스명 / 링크ID / 시설명 / 도로명 / 정방향 근거리 / 정방향 중거리 / 정방향 원거리 / 역방향 근거리 / 역방향 중거리 / 역방향 원거리
TRN023,교통,국가표준 네트워크 기준 교통량 데이터TMAP 국가표준 네트워크 기준 교통량 데이터,X,X,X,O,O,202507~202507,9,국가표준링크 ID / 도로명 / 시작노드 ID / 종료노드 ID / 시작노드명 / 종료노드명 / 측정일시 / 평균 차량수 / 차량총합
TRN024,교통,Tmap 네트워크 기준 교통량 데이터Tmap 네트워크 기준 교통량 데이터,X,X,X,O,O,202507~202507,4,TSD 링크 ID / 측정일시 / 평균 차량수 / 차량총합
POP001,인구,집계구 코드 기본정보집계구 코드 및 기본정보,O,O,O,O,O,202101~202312,7,집계구코드 / 도로명주소 / 지번주소 / 집계구 중심 경도 / 집계구 중심 위도 / 기준년도 / 적재일자
POP008,인구,SKT 생활인구(행정동·유입지·성별·연령·일별) SKT 생활인구(행정동·유입지·성별·연령·일별 집계),X,X,X,O,O,201901~202502,5,기준일자 / 행정동코드 / 성연령 / 유입지코드 / 적재일자
POP009,인구,"SKT 생활인구(행정동·유입지·시간대·일별) SKT 생활인구(행정동·유입지역 단위, 일별·시간대별 집계)",X,X,X,O,O,201901~202502,5,기준일자 / 행정동코드 / 유입지코드 / 시간대 / 적재일자
POP010,인구,SKT 생활인구(50m격자·성별·연령·일별)SKT 생활인구(50m격자 단위 성별·연령·일별 집계),X,X,X,O,O,201901~202502,4,기준일자 / 행정기관 코드 / 격자id / 적재일자
POP011,인구,"SKT 생활인구(50m격자·시간대·일별)SKT 생활인구(50m 격자 단위, 시간대별·일별 집계)",X,X,X,O,O,201901~202502,4,기준일자 / 행정동코드 / 격자id / 적재일자
POP012,인구,"SKT 생활인구(행정동·성별·연령·일별) SKT 생활인구(행정동·유입지역 단위, 성별·연령별, 일별 집계)",X,X,X,O,O,201901~202502,5,기준일자 / 행정기관 코드 / 성별 / 연령 / 적재일자
POP013,인구,SKT 생활인구(행정동·시간대·일별) SKT 생활인구(행정동·시간대·일별 집계),X,X,X,O,O,201901~202502,4,기준일자 / 행정기관 코드 / 시간대 / 적재일자
POP014,인구,"지역별 인구 합계지역, 연령, 성별 단위 인구 합계",O,O,O,O,O,202108~202408,14,데이터 생성 년월 / 시도 코드 / 시군구 코드 / 동 코드 / 집계구 코드 / 시도 명칭 / 시군구 명칭 / 동 명칭 / 집계구 명칭 / 연령 구분 / 성별 구분 / 인구 합계 / 데이터 적재 일자 / 데이터 생성 센터 코드
POP015,인구,"가구유형별 인구 합계지역, 가구 유형, 세대주 연령, 세대주 성별 단위 인구 합계",O,O,O,O,O,202108~202208,15,데이터 생성 년월 / 시도 코드 / 시군구 코드 / 동 코드 / 집계구 코드 / 시도 명칭 / 시군구 명칭 / 동 명칭 / 집계구 명칭 / 가구 유형 구분 / 세대주 연령 구분 / 세대주 성별 구분 / 인구 합계 / 데이터 적재 일자 / 데이터 생성 센터 코드
POP017,인구,성연령별 생활인구(50m격자)KT 50m 격자 생활인구 데이터,X,X,X,O,O,202301~202603,3,기준일자 / 행정동코드 / 격자ID
POP018,인구,성연령별 생활인구(250m격자) KT 성연령별 생활인구(250m격자),X,X,X,O,O,202301~202603,3,기준일자 / 행정동코드 / 격자ID
POP019,인구,행정동별 성연령별 생활인구(행정동)KT 행정동별 성연령별 생활인구(행정동),X,X,X,O,O,202301~202606,7,기준일자 / 행정기관코드 / 성별 / 연령별 / 주거인구수 / 직장인구수 / 방문인구수
POP020,인구,시간대별 생활인구(50m격자) KT 시간대별 생활인구(50m격자),X,X,X,O,O,202301~202603,3,기준일자 / 행정동코드(10자리) / 격자id
POP021,인구,시간대별 생활인구(250m격자) KT 시간대별 생활인구(250m격자),X,X,X,O,O,202301~202603,3,기준일자 / 행정동코드(10자리) / 격자id
POP022,인구,행정동별 시간대별 생활인구(행정동)KT 행정동별 시간대별 생활인구(행정동),X,X,X,O,O,202301~202606,6,기준일자 / 행정동코드 / 시간대(00~23) / 주거인구수 / 직장인구수 / 방문인구수
POP023,인구,행정동별 유입지별 성연령별 생활인구KT 행정동별 유입지별 성연령별 생활인구,X,X,X,O,O,202301~202606,7,기준일자 / 행정동코드 / 성연령 / 유입지코드 / 주거인구수 / 직장인구수 / 방문인구수
POP024,인구,행정동별 유입지별 시간대 생활인구KT 행정동별 유입지별 시간대 생활인구,X,X,X,O,O,202301~202606,7,기준일자 / 행정동코드 / 유입지 코드 / 시간대 / 주거인구수 / 직장인구수 / 방문인구수
POP025,인구,행정동별 성연령별 유출인구KT 행정동별 성연령별 유출인구,X,X,X,O,O,202301~202606,7,기준일자 / 행정동코드 / 성연령 / 유출지 코드 / 주거인구수 / 직장인구수 / 방문인구수
POP026,인구,행정동별 시간대별 유출인구KT 행정동별 시간대별 유출인구,X,X,X,O,O,202301~202606,7,기준일자 / 행정동코드 / 유출지 코드 / 시간대 / 주거인구수 / 직장인구수 / 방문인구수
POP027,인구,행정동별 국적별 성연령 생활인구KT 행정동별 국적별 성연령 생활인구,X,X,X,O,O,202301~202606,8,기준일자 / 행정동코드 / 국적코드 / 성별 / 연령별 / 주거인구수 / 직장인구수 / 방문인구수
POP028,인구,행정동별 국적별 시간대 생활인구KT 행정동별 국적별 시간대 생활인구,X,X,X,O,O,202301~202606,7,기준일자 / 행정동코드 / 국적코드 / 시간대 / 주거인구수 / 직장인구수 / 방문인구수
POP029,인구,일별 행정동 성연령별 청년인구KT 일별 행정동 성연령별 청년인구,X,X,X,O,O,202301~202606,7,기준일자 / 행정동코드 / 성별 / 연령 / 주거인구수 / 직장인구수 / 방문인구수
POP030,인구,일별 행정동 시간대별 연령별 청년인구KT 일별 행정동 시간대별 연령별 청년인구,X,X,X,O,O,202301~202606,7,기준일자 / 행정동코드 / 연령 / 시간대(00~23) / 주거인구수 / 직장인구수 / 방문인구수
POP031,인구,월별 관광지별 성별 방문인구KT 월별 관광지별 성별 방문인구,X,X,X,O,O,202306~202606,4,기준연월 / 관광지코드 / 관광지명칭 / 방문자분류
POP032,인구,월별 관광지별 연령별 방문인구KT 월별 관광지별 연령별 방문인구,X,X,X,O,O,202306~202606,4,기준연월 / 관광지코드 / 관광지명칭 / 방문자분류
POP033,인구,월별 관광지별 유입지별 방문인구KT 월별 관광지별 유입지별 방문인구,X,X,X,O,O,202306~202606,4,기준연월 / 관광지코드 / 관광지명칭 / 방문자분류
POP034,인구,월별 관광지별 국적별 방문인구KT 월별 관광지별 국적별 방문인구,X,X,X,O,O,202306~202606,4,기준연월 / 관광지코드 / 관광지명칭 / 방문자분류(국적)
POP035,인구,KT국적코드KT국적코드,O,O,O,O,O,2025~2025,4,대륙코드 / 대륙명 / 국적코드 / 국적명
POP036,인구,SKT 성연령별 유출인구SKT 행정동별 유입지별 성연령별 유출인구,X,X,X,O,O,202405~202502,4,기준일자 / 유출지코드 / 성연령 / 행정동코드
POP037,인구,SKT 시간대별 유출인구SKT 행정동별 유입지별 시간대별 유출인구,X,X,X,O,O,202501~202502,4,기준일자 / 유출지코드 / 행정동코드 / 시간대
REL001,부동산,건축물대장 주택가격건축물대장의 주택 가격 정보,O,O,O,O,O,200801~202001,28,관리건축물대장PK / 관리건축물대장PK 앞 5자리 / 관리건축물대장PK 뒷자리 / 대장구분코드 / 대장구분코드명 / 대장종류코드 / 대장종류코드명 / 대지위치 / 도로명대지위치 / 건물명 / 법정동코드 앞5자리 / 법정동코드 뒷자리 / 대지구분코드 / 번 / 지 / 특수지명 / 블록 / 로트 / 외필지수 / 새주소도로코드
REL002,부동산,건축물대장 기본개요건축물대장의 기본 개요 정보,O,O,O,O,O,202012~202012,34,관리건축물대장PK / 관리건축물대장PK 앞 5자리 / 관리건축물대장PK 뒷자리 / 관리상위건축물대장PK / 대장구분코드 / 대장구분코드명 / 대장종류코드 / 대장종류코드명 / 대지위치 / 도로명대지위치 / 건물명 / 법정동코드 앞5자리 / 법정동코드 뒷자리 / 대지구분코드 / 번 / 지 / 특수지명 / 블록 / 로트 / 외필지수
REL003,부동산,건축물대장 지역·지구·구역건축물대장의 지역·지구·구역 정보,O,O,O,O,O,202012~202012,22,관리건축물대장PK / 관리건축물대장PK 앞 5자리 / 관리건축물대장PK 뒷자리 / 대지위치 / 도로명대지위치 / 법정동코드 앞5자리 / 법정동코드 뒷자리 / 대지구분코드 / 번 / 지 / 특수지명 / 블록 / 로트 / 지역지구구역구분코드 / 지역지구구역구분코드명 / 지역지구구역코드 / 지역지구구역코드명 / 대표여부 / 기타지역지구구역 / 생성일자
REL004,부동산,건축물대장 총괄표제부건축물대장의 총괄 표제부 정보,O,O,O,O,O,202012~202012,56,관리건축물대장PK / 관리건축물대장PK 앞 5자리 / 관리건축물대장PK 뒷자리 / 대장구분코드 / 대장구분코드명 / 대장종류코드 / 대장종류코드명 / 신구대장구분코드 / 신구대장구분코드명 / 대지위치 / 도로명대지위치 / 건물명 / 법정동코드 앞5자리 / 법정동코드 뒷자리 / 대지구분코드 / 번 / 지 / 특수지명 / 블록 / 로트
REL005,부동산,건축물대장 오수정화시설건축물대장의 오수정화시설 정보,O,O,O,O,O,202012~202012,31,관리건축물대장PK / 관리건축물대장PK 앞 5자리 / 관리건축물대장PK 뒷자리 / 대장구분코드 / 대장구분코드명 / 대장종류코드 / 대장종류코드명 / 대지위치 / 도로명대지위치 / 건물명 / 법정동코드 앞5자리 / 법정동코드 뒷자리 / 대지구분코드 / 번 / 지 / 특수지명 / 블록 / 로트 / 새주소도로코드 / 새주소법정동코드
REL006,부동산,건축물대장 표제부건축물대장의 표제부 정보,O,O,O,O,O,202012~202511,67,관리건축물대장PK / 관리건축물대장PK 앞 5자리 / 관리건축물대장PK 뒷자리 / 대장구분코드 / 대장구분코드명 / 대장종류코드 / 대장종류코드명 / 대지위치 / 도로명대지위치 / 건물명 / 법정동코드 앞5자리 / 법정동코드 뒷자리 / 대지구분코드 / 번 / 지 / 특수지명 / 블록 / 로트 / 외필지수 / 새주소도로코드
REL007,부동산,건축물대장 전유부건축물대장의 전유부 정보,O,O,O,O,O,202012~202012,31,관리건축물대장PK / 관리건축물대장PK 앞 5자리 / 관리건축물대장PK 뒷자리 / 대장구분코드 / 대장구분코드명 / 대장종류코드 / 대장종류코드명 / 대지위치 / 도로명대지위치 / 건물명 / 법정동코드 앞5자리 / 법정동코드 뒷자리 / 대지구분코드 / 번 / 지 / 특수지명 / 블록 / 로트 / 새주소도로코드 / 새주소법정동코드
REL008,부동산,건축물대장 층별개요건축물대장의 층별 개요 정보,O,O,O,O,O,202012~202012,36,관리건축물대장PK / 관리건축물대장PK 앞 5자리 / 관리건축물대장PK 뒷자리 / 대지위치 / 도로명대지위치 / 건물명 / 법정동코드 앞5자리 / 법정동코드 뒷자리 / 대지구분코드 / 번 / 지 / 특수지명 / 블록 / 로트 / 새주소도로코드 / 새주소법정동코드 / 새주소지상지하코드 / 새주소본번 / 새주소부번 / 동명
