관리번호,분류,데이터명,원본,발췌,단순집계,응용집계,시각화,기간,컬럼수,주요컬럼
REL043,부동산,격자 중심에서 철도 거리 데이터격자별 지하철 거리 정보,X,X,X,X,X,202404~202404,1,격자 아이디
REL044,부동산,고속도로 IC 공간 데이터고속도로 IC 공간 데이터,X,X,X,X,X,202406~202406,6,IC/JC코드 / IC/JC명 / 노선코드 / 노선명 / X좌표값 / Y좌표값
REL045,부동산,격자 중심에서 고속도로 IC 거리 데이터고속도로 격자 거리 데이터,X,X,X,X,X,202406~202406,1,격자 아이디
REL046,부동산,공항 위치 공간 데이터공항 위치 공간 데이터,X,X,X,X,X,202308~202308,4,공항명 / 행정구역 / 위도(WGS84좌표) / 경도(WGS84좌표)
REL047,부동산,격자 중심에서 공항 거리 데이터공항 격자 거리 데이터,X,X,X,X,X,202308~202308,1,격자 아이디
REL048,부동산,격자 중심에서 항만 거리 데이터항만(선박) 격자 거리 데이터,X,X,X,X,X,202404~202404,1,격자 아이디
REL049,부동산,부산시 건폐율 데이터부산 건물 커버리지 시계열 데이터,X,X,X,X,X,202207~202404,4,격자 아이디 / 건폐율 / 건폐율 / 연월
REL050,부동산,부산시 월별 건폐율 데이터 결합부산 건물 커버리지 원시 데이터,X,X,X,X,X,202111~202411,23,격자 아이디 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율
REL051,부동산,부산시 월별 건폐율 데이터 (LSTM적용)부산 건물 커버리지 LSTM 예측 데이터,X,X,X,X,X,202205~202412,31,격자 아이디 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율 / 월별 건폐율
REL052,부동산,부산시 용적률 데이터부산 용적률 시계열 데이터,X,X,X,X,X,202207~202404,4,격자 아이디 / 건폐율 / 건폐율 / 연월
